GeneID	WT1	WT2	ddm1	ddm2
AT5G17930	5.344893	6.055911	5.489854	5.243146
AT5G17950	0.000000	0.0	0.0	0.0
AT5G17960	0.055391	0.090944	0.023314	0.026381
AT5G17970	0.000000	0.0	0.0	0.020267
AT5G17980	1.985152	2.196482	3.120890	2.544082
AT5G17990	28.109789	30.561686	36.925877	34.980103
AT5G18000	0.077959	0.186062	0.066179	0.112704
AT5G18005	0.000000	0.0	0.0	0.0
AT5G18010	39.555862	42.232887	17.370134	21.803047
AT5G18015	0.145401	0.000000	0.357483	0.000000
AT5G18020	110.249451	96.452095	40.432552	37.109894
AT5G18030	145.162399	130.185623	38.503201	50.578545
AT5G18037	0.000000	0.000000	0.0	0.000000
AT5G18040	17.840437	14.569579	16.273010	16.288815
AT5G18050	51.604675	48.614933	27.889181	35.010380
AT5G18060	63.852089	59.304321	24.637445	38.151863
AT5G18065	6.510758	4.338799	5.654232	6.774337
AT5G18070	8.306806	8.337761	6.991757	6.510986
AT5G18080	85.719345	84.743233	35.710514	50.710636
AT5G18085	0.000000	0.0	0.0	0.158286
AT5G18090	0.239672	0.000000	0.231908	0.189359
AT5G18100	74.977898	60.681648	57.680855	53.335670
AT5G18110	58.393841	55.610985	53.016411	63.467995
AT5G18120	10.300362	9.020961	9.720654	9.383198
AT5G18130	34.397488	35.510860	23.686752	24.028131
AT5G18140	44.300785	30.229593	25.104233	22.777487
AT5G18150	72.128853	63.540344	88.352196	94.864998
AT5G18160	0.000000	0.0	0.0	0.0
AT5G18170	43.583981	53.603054	38.156281	44.765350
AT5G18180	2.472323	1.389775	1.255157	1.728371
AT5G18190	21.170036	23.126045	20.203709	19.832743
AT5G18200	16.786905	14.434383	15.493680	14.178870
AT5G18202	0.000000	0.0	0.0	0.0
AT5G18210	1.688032	1.783041	1.934782	1.318172
AT5G18220	0.342560	0.133912	0.076171	0.422201
AT5G18230	23.545160	27.105642	19.293203	20.530270
AT5G18240	7.210641	6.050040	5.152578	3.933125
AT5G18245	4.727933	3.109429	2.121605	2.040026
AT5G18250	10.551062	13.036046	8.445024	11.132936
AT5G18255	18.596048	14.304757	14.405392	14.202828
AT5G18260	0.980000	1.568253	0.606351	1.212493
AT5G18270	11.780131	14.509334	17.010685	14.103587
AT5G18280	22.481594	22.176535	25.172808	20.237379
AT5G18290	2.228517	1.919423	3.043863	3.678502
AT5G18300	2.900904	1.805677	1.416803	2.017432
AT5G18310	56.834656	60.935631	65.473763	69.057343
AT5G18320	0.072406	0.067827	0.650966	0.000000
AT5G18330	0.000000	0.0	0.0	0.000000
AT5G18340	0.607319	0.710047	0.922313	0.846397
AT5G18350	0.000000	0.0	0.011227	0.000000
AT5G18360	1.031400	0.864124	1.210712	1.341097
AT5G18362	2.848713	1.456922	1.643785	1.285195
AT5G18370	0.667049	1.566520	1.309285	1.138805
AT5G18380	789.152771	686.317383	826.388977	783.446167
AT5G18390	4.132075	4.060795	3.533928	4.689320
AT5G18400	28.408936	32.078201	45.133373	50.663757
AT5G18403	0.000000	0.0	0.000000	0.0
AT5G18404	5.959017	4.317217	3.044385	4.026494
AT5G18407	0.655102	0.000000	0.000000	0.000000
AT5G18410	7.002728	8.387403	6.607100	6.594842
AT5G18420	11.205976	15.597284	13.245485	13.849681
AT5G18430	0.760100	1.142634	0.977938	1.796067
AT5G18440	4.849373	5.317662	3.421151	4.009710
AT5G18450	1.887602	1.717167	2.132784	0.205566
AT5G18460	12.436382	14.361197	10.694386	10.889292
AT5G18470	1.596772	2.495170	3.901077	2.750816
AT5G18475	1.455009	1.475930	0.896525	1.358017
AT5G18480	12.407111	15.510877	17.861353	16.201431
AT5G18490	8.271069	10.872737	11.801667	13.469848
AT5G18500	40.123245	38.196243	46.808426	40.928444
