GeneID	WT1	WT2	ddm1	ddm2
AT1G02140	151.226	167.534	153.631	144.205
AT1G02145	4.81579	5.49621	5.35638	4.71654
AT1G02150	21.7759	22.6196	30.0537	24.0102
AT1G02160	17.3153	16.2116	16.9124	16.0042
AT1G02170	27.5368	29.4447	29.0154	25.2755
AT1G02180	4.57905	4.94569	6.06766	4.29402
AT1G02190	0.119601	0.16197	0.369857	0.431446
AT1G02205	41.5523	42.8295	49.4877	38.9895
AT1G02210	0	0	0	0
AT1G02220	3.69299	4.1804	3.80032	5.10971
AT1G02228	0	0	0	0
AT1G02230	0.0380685	0.0902108	0.0316893	0.115335
AT1G02250	0	0	0	0
AT1G02260	0.723315	0.911434	0.94617	0.660899
AT1G02270	10.555	8.70384	19.3877	15.2745
AT1G02280	30.8825	39.4991	44.3562	46.1651
AT1G02290	3.09413	3.08164	2.74362	2.24165
AT1G02300	0.359154	0.51581	0.108716	0.131893
AT1G02305	58.6915	62.5526	53.7583	56.8034
AT1G02310	0.281736	0.66763	0.65667	0.512139
AT1G02320	0	0	0	0
AT1G02330	16.6916	20.7188	14.3501	20.449
AT1G02335	35.2552	31.8323	34.7837	34.8531
AT1G02340	72.2205	81.6969	43.5248	68.4003
AT1G02350	1.35891	1.19267	1.13119	1.06738
AT1G02360	19.356	18.2296	9.77768	12.9063
AT1G02370	4.58247	6.04981	4.65629	4.30188
AT1G02380	7.61031	7.27694	6.88064	9.59776
AT1G02390	4.42415	2.92884	2.56041	1.53185
AT1G02391	0	0	0	0
AT1G02400	3.82674	4.51086	6.68951	6.77787
AT1G02405	0.616789	0.406002	0.513433	0.311444
AT1G02410	6.21889	7.49058	8.20849	8.08469
AT1G02420	2.36457	1.97154	3.19307	2.81247
AT1G02430	0.404495	0.58577	0.168357	0.136165
AT1G02440	0	0	0	0.090971
AT1G02450	0.394252	0	0.328187	0.199075
AT1G02460	0.396786	0.59385	0.643207	1.22322
AT1G02470	0.0511921	0	0.546009	0.413837
AT1G02475	47.3074	75.4268	59.6063	58.4176
AT1G02480	0	0	0	0
AT1G02490	0	0	0	6.9004
AT1G02500	270.579	264.261	273.097	276.767
AT1G02510	0	0	0	0
AT1G02520	2.55547	2.64576	1.99049	2.87568
AT1G02530	0.0264642	0.0209041	0.0587454	0.0178172
AT1G02540	0.149564	0	0.0415005	0
AT1G02550	0	0	0	0
AT1G02560	115.482	123.622	154.861	132.649
AT1G02570	0.190082	0.975949	0.31646	0.335933
AT1G02575	0.0480661	0.265772	0.0800232	0.0970828
AT1G02580	0.0160269	0.0379789	0.10673	0.145668
AT1G02590	0	0	0	0
AT1G02600	0	0	0	0
AT1G02610	12.7907	16.036	7.57818	10.6187
AT1G02620	0.275769	0.108915	0.0573895	0.139248
AT1G02630	0.380043	0.413548	0	0.356386
AT1G02640	42.6604	56.7472	26.1511	30.9454
AT1G02650	1.14907	1.63771	2.22494	1.84155
AT1G02660	25.8034	33.7102	37.7136	40.6542
AT1G02670	0.638551	0.475569	0.683419	0.792263
AT1G02680	9.20593	12.7443	10.1124	10.1596
AT1G02681	0	0	0	0
AT1G02690	6.15511	5.79173	7.58126	6.74221
AT1G02700	10.1027	18.8012	5.34863	2.28539
AT1G02710	17.3446	10.3453	11.7862	9.65174
AT1G02720	2.36052	1.52937	1.7221	1.79459
AT1G02730	8.57315	7.77867	13.2198	10.8803
AT1G02740	4.2248	5.8933	5.26279	5.93084
AT1G02750	6.52831	8.76212	7.08222	8.64196
AT1G02760	0	0	0	0
AT1G02770	1.51521	2.41975	1.06937	0.964686
AT1G02780	437.164	501.634	424.418	546.08
AT1G02790	0.252898	0.0363207	0.0765524	0
AT1G02800	2.55033	2.06529	2.06944	0.930659
AT1G02810	14.4793	12.3528	10.5157	9.702
AT1G02813	0	0	0.271467	0
AT1G02816	46.7685	46.2763	46.1793	42.2483
